Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Sales,Date,Payment,cogs,gross margin percentage,gross income,Rating
750-67-8428,Alex,Yangon,Member,Female,Health and beauty,74.69,7,26.1415,548.9715,01-05-2019,Ewallet,522.83,4.761904762,26.1415,9.1
226-31-3081,Giza,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,03-08-2019,Cash,76.4,4.761904762,3.82,9.6
631-41-3108,Alex,Yangon,Normal,Female,Home and lifestyle,46.33,7,16.2155,340.5255,03-03-2019,Credit card,324.31,4.761904762,16.2155,7.4
123-19-1176,Alex,Yangon,Member,Female,Health and beauty,58.22,8,23.288,489.048,1/27/2019,Ewallet,465.76,4.761904762,23.288,8.4
373-73-7910,Alex,Yangon,Member,Female,Sports and travel,86.31,7,30.2085,634.3785,02-08-2019,Ewallet,604.17,4.761904762,30.2085,5.3
699-14-3026,Giza,Naypyitaw,Member,Female,Electronic accessories,85.39,7,29.8865,627.6165,3/25/2019,Ewallet,597.73,4.761904762,29.8865,4.1
355-53-5943,Alex,Yangon,Member,Female,Electronic accessories,68.84,6,20.652,433.692,2/25/2019,Ewallet,413.04,4.761904762,20.652,5.8
315-22-5665,Giza,Naypyitaw,Member,Female,Home and lifestyle,73.56,10,36.78,772.38,2/24/2019,Ewallet,735.6,4.761904762,36.78,8
665-32-9167,Alex,Yangon,Member,Female,Health and beauty,36.26,2,3.626,76.146,01-10-2019,Credit card,72.52,4.761904762,3.626,7.2
692-92-5582,Cairo,Mandalay,Member,Female,Food and beverages,54.84,3,8.226,172.746,2/20/2019,Credit card,164.52,4.761904762,8.226,5.9
351-62-0822,Cairo,Mandalay,Member,Female,Fashion accessories,14.48,4,2.896,60.816,02-06-2019,Ewallet,57.92,4.761904762,2.896,4.5
529-56-3974,Cairo,Mandalay,Member,Female,Electronic accessories,25.51,4,5.102,107.142,03-09-2019,Cash,102.04,4.761904762,5.102,6.8
365-64-0515,Alex,Yangon,Member,Female,Electronic accessories,46.95,5,11.7375,246.4875,02-12-2019,Ewallet,234.75,4.761904762,11.7375,7.1
252-56-2699,Alex,Yangon,Member,Female,Food and beverages,43.19,10,21.595,453.495,02-07-2019,Ewallet,431.9,4.761904762,21.595,8.2
829-34-3910,Alex,Yangon,Member,Female,Health and beauty,71.38,10,35.69,749.49,3/29/2019,Cash,713.8,4.761904762,35.69,5.7
299-46-1805,Cairo,Mandalay,Member,Female,Sports and travel,93.72,6,28.116,590.436,1/15/2019,Cash,562.32,4.761904762,28.116,4.5
656-95-9349,Alex,Yangon,Member,Female,Health and beauty,68.93,7,24.1255,506.6355,03-11-2019,Credit card,482.51,4.761904762,24.1255,4.6
765-26-6951,Alex,Yangon,Member,Female,Sports and travel,72.61,6,21.783,457.443,01-01-2019,Credit card,435.66,4.761904762,21.783,6.9
329-62-1586,Alex,Yangon,Member,Female,Food and beverages,54.67,3,8.2005,172.2105,1/21/2019,Credit card,164.01,4.761904762,8.2005,8.6
319-50-3348,Cairo,Mandalay,Member,Female,Home and lifestyle,40.3,2,4.03,84.63,03-11-2019,Ewallet,80.6,4.761904762,4.03,4.4
300-71-4605,Giza,Naypyitaw,Member,Female,Electronic accessories,86.04,5,21.51,451.71,2/25/2019,Ewallet,430.2,4.761904762,21.51,4.8
371-85-5789,Cairo,Mandalay,Member,Female,Health and beauty,87.98,3,13.197,277.137,03-05-2019,Ewallet,263.94,4.761904762,13.197,5.1
273-16-6619,Cairo,Mandalay,Member,Female,Home and lifestyle,33.2,2,3.32,69.72,3/15/2019,Credit card,66.4,4.761904762,3.32,4.4
636-48-8204,Alex,Yangon,Member,Female,Electronic accessories,34.56,5,8.64,181.44,2/17/2019,Ewallet,172.8,4.761904762,8.64,9.9
